일자,밥,국,메인,반찬,구분,국분류,메뉴분류
2016-02-01,밥,오징어찌개,쇠불고기,계란찜,중식,찜,육류
2016-02-02,밥,김치찌개,가자미튀김,모둠소세지구이,중식,찌개,해산물
2016-02-03,카레덮밥,팽이장국,치킨핑거,쫄면야채무침,중식,국수,조류
2016-02-04,밥,쇠고기무국,주꾸미볶음,부추전,중식,국,해산물
2016-02-05,밥,떡국,돈육씨앗강정,우엉잡채,중식,국,육류
2016-02-11,밥,시래기국,훈제오리구이,도토리묵무침,중식,국,조류
2016-02-12,밥,꽃게탕,돈육굴소스볶음,옥수수전,중식,탕,육류
2016-02-15,밥,시금치국,닭감자조림,연두부*양념장,중식,국,조류
2016-02-16,밥,쇠고기무국,탕수어,오징어숙회무침,중식,탕,해산물
2016-02-17,밥,냉이된장국,쇠고기장조림,통도라지구이,중식,국,육류
2016-02-18,낙지비빔밥,유부장국,고구마치즈구이,해초무침,중식,국,해산물
2016-02-19,밥,대구찌개,마늘간장치킨,새송이버섯볶음,중식,찌개,조류
2016-02-22,밥,쇠고기느타리국,갈치구이,호박꼬지&고사리&무나물,중식,국,해산물
2016-02-23,밥,콩나물국,돈육간장볶음,버섯잡채,중식,국,육류
2016-02-24,비빔밥,팽이장국,소세지피망볶음,맛탕,중식,탕,육류
2016-02-25,밥,북어계란국,닭갈비,새싹두부구이,중식,국,육류
2016-02-26,밥,수제비국,오징어볶음,계란찜,중식,찜,해산물
2016-02-29,밥,얼갈이된장국,제육볶음,늙은호박전,중식,국,육류
2016-03-02,밥,쇠고기미역국,주꾸미볶음,맛살계란말이,중식,국,해산물
2016-03-03,밥,근대된장국,탕수육,새송이버섯조림,중식,탕,육류
2016-03-04,밥,부대찌개,가자미튀김,메추리알조림,중식,찌개,해산물
2016-03-07,밥,콩나물국,닭갈비,모둠묵*양념장,중식,국,육류
2016-03-08,밥,차돌박이찌개,고등어김치말이,소세지구이,중식,찌개,해산물
2016-03-09,밥,북어국,돈육장조림,홍어무침,중식,국,육류
2016-03-10,밥,고추장찌개,닭데리야끼조림,해물파전,중식,찌개,조류
2016-03-11,밥,배추된장국,수제돈가스,탕평채,중식,탕,육류
2016-03-14,밥,어묵국,돈육고추장볶음,모둠양채쌈*쌈장,중식,국,육류
2016-03-15,밥,쑥국,소불고기,골뱅이무침*소면,중식,국수,육류
2016-03-16,곤드레밥,콩나물김치국,미니채소떡갈비,두부계란부침,중식,국,육류
2016-03-17,밥,사골우거지국,탕수어,파래김*양념장,중식,탕,해산물
2016-03-18,밥,시금치국,훈제오리구이,연근땅콩조림,중식,국,조류
2016-03-21,밥,꽃게탕,버섯불고기,계란말이,중식,탕,육류
2016-03-22,밥,쇠고기샤브국,코다리강정,두부&김치볶음,중식,국,해산물
2016-03-23,콩나물밥*달래장,맑은국,치킨텐더*요거트D,땅콩조림,중식,국,조류
2016-03-24,밥,북어계란국,쇠고기장조림,오징어초무침,중식,국,육류
2016-03-25,밥,닭개장,자반고등어구이,비엔나볶음,중식,국,해산물
2016-03-28,밥,얼갈이된장국,닭갈비,해파리냉채,중식,국,육류
2016-03-29,밥,옹심이만두국,주꾸미볶음,새송이버섯전,중식,국,해산물
2016-03-30,봄새싹비빔밥,쪽파국,오징어튀김,알감자버터구이,중식,국,해산물
2016-03-31,밥,매운콩나물국,돈육굴소스볶음,동태전,중식,국,육류
2016-04-01,밥,버섯들깨탕,갈치조림,우엉잡채,중식,탕,해산물
2016-04-04,밥,순두부찌개,쇠불고기,브로컬리맛살볶음,중식,찌개,육류
2016-04-05,밥,북어국,오징어볶음*소면,모둠소시지구이,중식,국수,해산물
2016-04-06,밥,올갱이아욱국,제육볶음,두부조림,중식,국,육류
2016-04-07,밥,어묵국,매운돼지갈비찜,해물파전,중식,찜,육류
2016-04-08,밥,배추된장국,순살양념치킨,메추리알조림,중식,국,조류
2016-04-11,밥,시래기국,훈제오리구이,무쌈/양파절임,중식,국,조류
2016-04-12,밥,부대찌개,쇠고기단호박조림,열무나물,중식,찌개,육류
2016-04-14,밥,수제비국,돈육굴소스볶음,양배추쌈,중식,국,육류
2016-04-15,밥,냉이된장찌개,닭데리야끼조림,도라지초무침,중식,찌개,조류
2016-04-18,밥,배추된장국,돈육강정,콩나물잡채,중식,국,육류
2016-04-19,밥,육개장,꽁치한마리구이,고기전,중식,국,해산물
2016-04-20,콩나물밥,근대된장국,매콤떡갈비조림,청포묵무침,중식,국,육류
2016-04-21,밥,대구매운탕,쇠고기볶음,옥수수전,중식,탕,육류
2016-04-22,밥,북어국,등갈비김치찜,연근조림,중식,찜,육류
2016-04-25,밥,콩나물국,돈간장불고기,김치전,중식,국,육류
2016-04-26,밥,쇠고기무국,주꾸미볶음,치즈계란말이,중식,국,해산물
2016-04-27,나물비빔밥,미소장국,궁중떡찜,알감자버터구이,중식,찜,육류
2016-04-28,밥,미역국,양념파닭,동그랑땡부침,중식,국,조류
2016-04-29,밥,돈육김치찌개,미트볼조림,고등어카레구이,중식,찌개,육류
2016-05-02,밥,시금치국,닭갈비,맛살겨자채,중식,국,육류
2016-05-03,곤드레밥,무채국,모둠장조림,온두부,중식,국,육류
2016-05-04,밥,쇠고기샤브국,오징어볶음,동태전,중식,국,해산물
2016-05-09,밥,매운어묵국,훈제오리구이,무쌈/양파절임,중식,국,조류
2016-05-10,밥,콩나물국,버섯불고기,오징어초무침,중식,국,육류
2016-05-11,단호박영양밥,시래기된장국,돈육칠리강정,멸치크랜베리볶음,중식,국,육류
2016-05-12,밥,오징어국,찜닭,꽃맛살볶음,중식,찜,조류
2016-05-13,밥,된장찌개,매운돼지갈비찜,해물파전,중식,찜,육류
2016-05-16,밥,감자고추장찌개,돈육굴소스볶음,계란찜,중식,찜,육류
2016-05-17,밥,들깨버섯탕,고등어김치말이,고기전,중식,탕,해산물
2016-05-18,산채비빔밥,미소장국,치킨핑거,연근땅콩조림,중식,국,조류
2016-05-19,밥,열무된장국,미니채소떡갈비,골뱅이무침*소면,중식,국수,육류
2016-05-20,밥,순두부찌개,닭오븐구이,새송이버섯전,중식,찌개,조류
2016-05-23,밥,북어콩나물국,쇠고기불고기,옥수수전,중식,국,육류
2016-05-24,밥,한방갈비탕,꼬지삼색전,오징어숙회무침,중식,탕,육류
2016-05-25,낙지볶음밥,미역장국,탕수어,우엉조림,중식,탕,해산물
2016-05-26,밥,쇠고기해장국,갈치구이,비엔나감자볶음,중식,국,해산물
2016-05-27,밥,배추된장국,닭양념조림,동그랑땡전,중식,국,조류
2016-05-30,밥,콩나물김치국,누룽지탕수육,명태조림,중식,탕,육류
2016-05-31,밥,근대된장국,닭갈비,잡채,중식,국,육류
2016-06-01,열무비빔밥,강된장찌개,오징어튀김,궁중떡볶이,중식,찌개,해산물
2016-06-02,밥,오이미역냉국,모둠장조림,두부구이,중식,국,육류
2016-06-03,밥,차돌박이찌개,찜닭,김치전,중식,찜,조류
2016-06-07,밥,북어계란국,돈육굴소스볶음,홍어채무침,중식,국,육류
2016-06-08,밥,참치김치찌개,순살깐풍기,맛살콩나물냉채,중식,찌개,조류
2016-06-09,밥,매운콩나물국,돼지갈비찜,부추전,중식,찜,육류
2016-06-10,밥,된장찌개,오징어볶음,모둠소시지구이,중식,찌개,해산물
2016-06-13,밥,북어콩나물국,제육볶음,참치야채전,중식,국,육류
2016-06-14,밥,배추된장국,닭양념조림,탕평채,중식,탕,조류
2016-06-15,카레덮밥,맑은국,떡갈비조림,쫄면무침,중식,국수,육류
2016-06-16,밥,부대찌개,가자미양념찜,고기전,중식,찜,해산물
2016-06-17,밥,꽃게탕,돈육강정,버섯잡채,중식,탕,육류
2016-06-20,밥,어묵국,레몬탕수육,명태엿장조림,중식,탕,육류
2016-06-21,밥,대구찌개,간장치킨,마늘쫑볶음,중식,찌개,조류
2016-06-22,밥,시래기국,돈삼겹보쌈,새송이버섯전,중식,국,육류
2016-06-23,밥,쇠고기무국,매콤낙지볶음,메추리알조림,중식,국,해산물
2016-06-24,밥,도토리묵냉국,목살데리야끼구이,골뱅이무침&소면,중식,국수,육류
2016-06-27,밥,배추된장국,훈제오리구이,실곤약초무침,중식,국,조류
2016-06-28,밥,육개장,고등어구이,닭가슴살냉채,중식,국,해산물
2016-06-29,밥,콩나물국,간장돼지갈비찜,계란말이,중식,찜,육류
2016-06-30,밥,버섯들깨찌개,닭오븐구이,김치전,중식,찌개,조류
2016-07-01,밥,수제비국,유자청제육볶음,두부새싹구이,중식,국,육류
2016-07-04,밥,감자고추장찌개,버섯불고기,맛살겨자초무침,중식,찌개,육류
2016-07-05,밥,쇠고기미역국,꽁치김치말이찜,모둠소세지구이,중식,찜,해산물
2016-07-06,곤드레밥,가쯔오장국,닭강정,해물파전,중식,국,조류
2016-07-07,밥,된장찌개,갈치조림,돈육잡채,중식,찌개,해산물
2016-07-08,밥,우무묵냉국,갈릭돈까스,감자볶음,중식,국,육류
2016-07-11,밥,호박잎찌개,돈육굴소스볶음,홍어채무침,중식,찌개,육류
2016-07-12,밥,건새우아욱국,순살파닭,꽃맛살볶음,중식,국,조류
2016-07-13,나물비빔밥,오이냉국,사천식탕수육,감자만두,중식,탕,육류
2016-07-14,밥,배추된장국,매운주꾸미볶음,동태전,중식,국,해산물
2016-07-15,밥,북어계란국,등갈비김치찜,삼치구이,중식,찜,육류
2016-07-18,밥,순두부찌개,돈육떡강정,새송이버섯전,중식,찌개,육류
2016-07-19,밥,시래기국,목살데리야끼,늙은호박전,중식,국,육류
2016-07-20,밥,사골우거지탕,미트볼조림,골뱅이무침*소면,중식,국수,육류
2016-07-21,밥,우묵콩국,고추장불고기,명태엿장조림,중식,국,육류
2016-07-22,참치회덮밥,미소장국,고구마치즈구이,춘권,중식,국,해산물
2016-07-25,밥,쇠고기미역국,불닭볶음,해파리겨자채,중식,국,조류
2016-07-26,밥,청국장찌개,미니채소떡갈비,계란말이,중식,찌개,육류
2016-07-27,밥,시금치국,동파삼겹수육,감자채볶음,중식,국,육류
2016-07-28,밥,꽃게탕,훈제오리냉채,동그랑땡전,중식,탕,조류
2016-07-29,연복풍덮밥,도토리묵냉국,꽁치오븐구이,마늘쫑무침,중식,국,해산물
2016-08-01,밥,부대찌개*라면사리,갈치구이,닭살겨자냉채,중식,찌개,해산물
2016-08-02,열무보리비빔밥,팽이장국,꽃맛살볶음,웨지감자오븐구이,중식,국,해산물
2016-08-03,밥,버섯들깨탕,레몬탕수육,메추리알조림,중식,탕,육류
2016-08-04,밥,복숭아미역냉국,닭데리야끼조림,비엔나감자볶음,중식,국,조류
2016-08-05,밥,된장찌개,매콤돼지갈비찜,연근/오징어튀김,중식,찜,육류
2016-08-08,밥,호박잎된장국,유자청제육볶음,오꼬노미계란말이,중식,국,육류
2016-08-09,밥,콩나물국,미니함박조림,오징어브로컬리숙회,중식,국,육류
2016-08-10,밥,사과오이냉국,장어강정,우엉잡채,중식,국,해산물
2016-08-11,밥,시래기국,삼겹살오븐구이,매운어묵볶음,중식,국,육류
2016-08-12,불고기덮밥,맑은국,새우까스&탈탈소스,고구마범벅,중식,국,해산물
2016-08-16,밥,닭곰탕,고등어조림,비엔나피망볶음,중식,탕,해산물
2016-08-17,밥,대구매운탕,오징어볶음,고기전,중식,탕,해산물
2016-08-18,밥,열무된장국,갈릭돈가스,마늘쫑볶음,중식,국,육류
2016-08-19,단호박영양밥,도토리묵냉국,소고기숙주볶음,땅콩조림,중식,국,육류
2016-08-22,밥,꽃게탕,고추잡채*꽃빵,꽁치와사비구이,중식,탕,해산물
2016-08-23,밥,배추된장국,칠리탕수육,두부조림,중식,탕,육류
2016-08-24,밥,해물된장찌개,닭볶음,연근조림,중식,찌개,조류
2016-08-25,밥,육개장,동태무조림,부추전,중식,국,해산물
2016-08-26,밥,떡국,마늘치킨,홍어채무침,중식,국,조류
2016-08-29,밥,순두부찌개,소불고기,골뱅이무침*소면,중식,국수,육류
2016-08-30,밥,버섯매운탕,갈치구이,모듬소시지볶음,중식,탕,해산물
2016-08-31,낙지비빔밥,가쯔오장국,계란말이,과일샐러드,중식,국,조류
2016-09-01,밥,오징어국,목살데리야끼,버섯잡채,중식,국,육류
2016-09-02,밥,시래기된장국,닭찜,해물파전,중식,찜,조류
2016-09-05,밥,쇠고기샤브국,오징어볶음,옥수수전,중식,국,해산물
2016-09-06,밥,부대찌개,가자미카레튀김,모둠버섯볶음,중식,찌개,해산물
2016-09-07,곤드레밥,두부맑은국,돈육떡강정,계란찜,중식,찜,육류
2016-09-08,밥,된장찌개,오리고추장볶음,콩나물잡채,중식,찌개,조류
2016-09-09,밥,황태맑은국,유린기,도토리묵무침,중식,국,육류
2016-09-12,밥,시래기국,닭볶음,동그랑땡,중식,국,조류
2016-09-13,밥,토란국,매운돼지갈비찜,어묵볶음,중식,찜,육류
2016-09-19,밥,어묵국,오리훈제고추장볶음,계란말이,중식,국,조류
2016-09-20,밥,얼갈이된장국,레몬탕수육,감자채볶음,중식,탕,육류
2016-09-21,열무비빔밥,팽이장국,너비아니구이,땅콩조림,중식,국,육류
2016-09-22,밥,쇠고기무국,임연수찜,햄피망볶음,중식,찜,해산물
2016-09-23,밥,오징어국,소고기숙주볶음,두부조림,중식,국,육류
2016-09-26,밥,아욱된장국,유자청돈육볶음,우엉잡채,중식,국,육류
2016-09-27,밥,느타리버섯국,간장파닭,쫄면무침,중식,국수,조류
2016-09-28,카레덮밥,맑은국,샐러드파스타,새송이버섯조림,중식,국,기타
2016-09-29,밥,된장찌개,돈육장조림,호박부추전,중식,찌개,육류
2016-09-30,밥,우거지해장국,꽁치한마리구이,가지볶음,중식,국,해산물
2016-10-04,밥,배추된장국,버섯불고기,골뱅이소면무침,중식,국수,육류
2016-10-05,밥,차돌박이찌개,매운주꾸미볶음,모둠소세지구이,중식,찌개,해산물
2016-10-06,밥,미역국,한방소갈비찜,오징어숙회무침,중식,찜,육류
2016-10-07,밥,대구매운탕,표고돈육탕수,메추리알곤약조림,중식,탕,육류
2016-10-10,밥,쇠고기샤브국,오징어볶음,맛살계란말이,중식,국,해산물
2016-10-11,밥,시금치된장국,목살스테이크,버섯잡채,중식,국,육류
2016-10-12,산채비빔밥*강된장,팽이버섯국,생선커틀릿,*타르타르소스,중식,국,해산물
2016-10-13,밥,떡국,마늘치킨,모듬묵*양념장,중식,국,조류
2016-10-14,밥,건새우무국,등갈비김치찜,계란버섯장조림,중식,찜,육류
2016-10-17,밥,미역국,소불고기,모둠양채쌈,중식,국,육류
2016-10-18,밥,꽃게탕,미트볼칠리조림,부추전,중식,탕,육류
2016-10-19,밥,참치김치찌개,유린기,셀프무쌈말이,중식,찌개,육류
2016-10-20,밥,돈신탕(해장탕),꽁치김치말이,메밀버섯전,중식,탕,해산물
2016-10-21,짜장밥,계란국,사천식탕수육,풍기샐러드,중식,탕,육류
2016-10-24,밥,된장찌개,제육볶음,해물파전,중식,찌개,육류
2016-10-25,밥,육개장,갈치구이,고추잡채*꽃빵,중식,국,해산물
2016-10-26,곤드레밥,배추된장국,데리야끼파닭,실곤약초무침,중식,국,조류
2016-10-27,밥,동태찌개,돈육장조림,두부계란전,중식,찌개,육류
2016-10-28,밥,버섯들깨탕,고등어조림,비엔나감자볶음,중식,탕,해산물
2016-10-31,밥,근대된장국,쇠고기숙주볶음,새송이버섯전,중식,국,육류
2016-11-01,밥,알탕,닭갈비,생선까스*탈탈소스,중식,탕,육류
2016-11-02,콩나물밥,가쯔오장국,훈제오리/무쌈,양파절임,중식,국,조류
2016-11-03,밥,쇠고기무국,쭈꾸미볶음,계란말이,중식,국,해산물
2016-11-04,밥,사골우거지탕,명태엿장조림,모듬소세지구이,중식,탕,육류
2016-11-07,밥,오징어국,유자청제육볶음,날치알계란찜,중식,찜,육류
2016-11-08,밥,차돌박이찌개,순살양념치킨,동그랑땡전,중식,찌개,조류
2016-11-09,단호박영양밥,꽃게탕,고추잡채*꽃빵,연근조림,중식,탕,해산물
2016-11-10,밥,김치콩나물국,쇠고기장조림,닭살겨자채,중식,국,육류
2016-11-11,밥,아욱된장국,칠리탕수육,동태전,중식,탕,육류
2016-11-14,밥,어묵국,소고기버섯볶음,오징어숙회무침,중식,국,육류
2016-11-15,밥,김치국,닭데리야끼조림,햄감자채볶음,중식,국,조류
2016-11-16,버섯영양밥,조랭이떡미역국,유산슬,임연수구이,중식,국,해산물
2016-11-17,밥,설렁탕,해물김치전,올방개묵무침,중식,탕,해산물
2016-11-18,밥,콩비지찌개,순살깐풍기,어묵볶음,중식,찌개,조류
2016-11-21,밥,시래기된장국,누룽지탕수육,계란찜,중식,찜,육류
2016-11-22,밥,대구매운탕,쇠고기숙주볶음,새싹두부구이,중식,탕,육류
2016-11-23,밥,순두부탕,파닭,갈치조림,중식,탕,조류
2016-11-24,밥,수제비국,짬뽕불고기,우엉잡채,중식,국수,육류
2016-11-25,카레덮밥,맑은국,통감자오븐구이,샐러드파스타,중식,국,기타
2016-11-28,밥,쇠고기느타리국,오징어볶음,모둠소시지구이,중식,국,해산물
2016-11-29,밥,근대국,제육볶음,늙은호박전,중식,국,육류
2016-11-30,나물비빔밥,가쯔오장국,치킨핑거*요거트D,감자샐러드,중식,국,조류
2016-12-01,밥,콩나물국,모둠장조림,골뱅이무침*소면,중식,국수,육류
2016-12-02,밥,떡국,양념찜닭,콩나물겨자채,중식,찜,조류
2016-12-05,밥,순두부찌개,훈제오리구이,참치야채전,중식,찌개,조류
2016-12-06,밥,홍합탕,삼겹살오븐구이,실곤약흑임자무침,중식,탕,육류
2016-12-07,짜장밥,유부장국,해물누룽지탕,개성감자만두,중식,탕,해산물
2016-12-08,밥,아욱국,양념돼지갈비찜,버섯메밀전,중식,찜,육류
2016-12-09,밥,차돌박이된장찌개,삼치무조림,닭가슴살냉채,중식,찌개,해산물
2016-12-12,밥,콩나물김치국,돈육굴소스볶음,매운어묵무침,중식,국,육류
2016-12-13,밥,냉이된장찌개,코다리강정,돈육잡채,중식,찌개,해산물
2016-12-14,소불고기덮밥,가쯔오장국,고구마튀김,멕시칸샐러드,중식,국,육류
2016-12-15,밥,콩비지찌개,오리고추장볶음,옥수수계란찜,중식,찜,조류
2016-12-16,밥,쇠고기샤브국,갈치구이,비엔케찹볶음,중식,국,해산물
2016-12-19,밥,배추된장국,짬뽕불고기,감자채볶음,중식,국수,육류
2016-12-20,밥,콩나물국,고추잡채*꽃빵,꽁치김치말이,중식,국,해산물
2016-12-21,밥,된장찌개,마늘간장치킨,홍어채무침,중식,찌개,조류
2016-12-22,밥,꽃게탕,쇠고기버섯볶음,양배추쌈*쌈장,중식,탕,육류
2016-12-23,밥,얼갈이국,떡갈비조림,동태전,중식,국,육류
2016-12-26,밥,동태찌개,돈육간장불고기,두부새싹구이,중식,찌개,육류
2016-12-27,밥,열무된장국,닭갈비,우엉잡채,중식,국,육류
2016-12-28,콩나물밥,가쯔오장국,미트볼케찹조림,꽃맛살샐러드,중식,국,육류
2016-12-29,밥,시래기국,오징어볶음*소면,소세지감자조림,중식,국수,해산물
2016-12-30,밥,순두부찌개,수제돈까스,꽈리고추어묵볶음,중식,찌개,육류
2017-01-02,밥,사골떡국,쇠고기낙지볶음,부추깻잎전,중식,국,육류
2017-01-03,밥,홍합탕,매운동태찜,언양식불고기,중식,찜,해산물
2017-01-04,곤드레밥,황태국,동그랑땡전,비빔메밀국수,중식,국,해산물
2017-01-05,밥,육개장,굴비구이,두반장감자볶음,중식,국,해산물
2017-01-06,밥,된장찌개,레몬탕수육,주꾸미초무침,중식,탕,육류
2017-01-09,밥,콩나물국,동파육,무쌈말이,중식,국,육류
2017-01-10,밥,쇠고기미역국,주꾸미떡볶음,고기전,중식,국,해산물
2017-01-11,비빔밥,팽이장국,생선까스,씨리얼과일샐러드,중식,국,해산물
2017-01-12,밥,어묵국,매운닭찜,모듬버섯구이*초장,중식,찜,조류
2017-01-13,밥,짬뽕국,미니함박조림,잡채,중식,국,육류
2017-01-16,밥,얼갈이된장국,오징어볶음*소면,꽃맛살햄볶음,중식,국수,해산물
2017-01-17,밥,순두부찌개,쇠고기숙주볶음,삼색묵무침,중식,찌개,육류
2017-01-18,밥,아욱국,훈제오리구이,옥수수전,중식,국,조류
2017-01-19,밥,수제비국,유자청돈육볶음,두부새싹구이,중식,국,육류
2017-01-20,밥,닭개장,가자미카레튀김,비엔나케찹볶음,중식,국,해산물
2017-01-23,밥,냉이콩나물국,닭볶음,새송이버섯전,중식,국,조류
2017-01-24,밥,알탕,돈육간장불고기,감자채볶음,중식,탕,육류
2017-01-25,카레덮밥,맑은국,유린기,개성감자만두,중식,국,육류
2017-01-26,밥,배추된장국,소갈비찜,삼색꼬지전,중식,찜,육류
2017-01-31,밥,미역국,언양식불고기*양파채,양잡피잡채,중식,국,육류
2017-02-01,밥,시금치된장국,고추장불고기,닭살겨자채,중식,국,육류
2017-02-02,밥,굴김치두부국,스위트칠리미트볼,갈치구이,중식,국,육류
2017-02-03,밥,콩나물국,소고기낙지볶음,연두부찜,중식,찜,육류
2017-02-06,밥,냉이된장찌개,닭갈비,감자전,중식,찌개,육류
2017-02-07,밥,대구매운탕,유산슬,땅콩멸치볶음,중식,탕,해산물
2017-02-08,콩나물밥,맑은국,닭오븐구이,춘권*칠리소스,중식,국,조류
2017-02-09,밥,배추국,수제돈까스,명태조림,중식,국,육류
2017-02-10,오곡밥,소고기무국,굴비구이,홍어무침,중식,국,해산물
2017-02-13,밥,쇠고기미역국,제육볶음,두부구이*양념장,중식,국,육류
2017-02-14,밥,된장찌개,주꾸미볶음,돈육잡채,중식,찌개,해산물
2017-02-15,밥,들깨시래기국,순살파닭,해물김치전,중식,국,조류
2017-02-16,밥,홍합탕,소불고기,오징어초무침,중식,탕,육류
2017-02-17,밥,어묵국,등갈비김치찜,동태전,중식,찜,육류
2017-02-20,밥,열무된장국,동파육,새송이버섯전,중식,국,육류
2017-02-21,밥,버섯들깨탕,낙지볶음,야채계란찜,중식,찜,해산물
2017-02-22,나물비빔밥,유부장국,생선까스*탈탈소스,파스타샐러드,중식,국,해산물
2017-02-23,밥,콩나물국,돼지갈비찜,메추리알조림,중식,찜,육류
2017-02-24,밥,수제비국,깐풍기,어묵볶음,중식,국,조류
2017-02-27,밥,봄동된장국,훈제오리구이,녹두김치전,중식,국,조류
2017-02-28,밥,사골떡국,언양식불고기,콩나물동태찜,중식,찜,육류
2017-03-02,밥,돈육김치찌개,팝콘치킨*데리마요,고등어조림,중식,찌개,조류
2017-03-03,카레덮밥,맑은국,미니채소떡갈비,군만두,중식,국,육류
2017-03-06,밥,어묵국,순살닭갈비,동그랑땡전,중식,국,육류
2017-03-07,밥,토란탕,돈육칠리강정,꽁치한마리구이,중식,탕,육류
2017-03-08,곤드레밥*강된장,미소국,오징어볶음,햄감자채볶음,중식,국,해산물
2017-03-09,밥,아욱국,마늘치킨,골뱅이무침*소면,중식,국수,조류
2017-03-10,밥,얼큰순두부찌개,해물청경채볶음,계란말이,중식,찌개,해산물
2017-03-13,밥,오징어국,버섯불고기,야채계란찜,중식,찜,육류
2017-03-14,밥,동태찌개,미트볼케찹조림,우엉잡채,중식,찌개,육류
2017-03-15,밥,근대국,양념찜닭,옥수수전,중식,찜,조류
2017-03-16,밥,옹심이만두국,돈육굴소스볶음,콩나물겨자채,중식,국,육류
2017-03-17,밥,고추장찌개,치킨커틀렛,연근땅콩조림,중식,찌개,조류
2017-03-20,밥,아욱국,콩나물불고기,맛살전,중식,국,육류
2017-03-21,밥,냉이된장찌개,쇠고기장조림,굴비구이,중식,찌개,육류
2017-03-22,밥,돈육김치찌개,유린기,비엔나볶음,중식,찌개,육류
2017-03-23,밥,콩가루배추국,돼지갈비찜,물파래전,중식,찜,육류
2017-03-24,밥,대구매운탕,고추잡채*꽃빵,올방개묵무침,중식,탕,해산물
2017-03-27,밥,알탕,소고기숙주볶음,오꼬노미계란말이,중식,탕,육류
2017-03-28,밥,소고기미역국,주꾸미볶음,탕평채,중식,탕,해산물
2017-03-29,봄나물비빔밥,팽이장국,언양식불고기,땅콩조림,중식,국,육류
2017-03-30,밥,북어콩나물국,사천식탕수육,김치전,중식,탕,육류
2017-03-31,밥,쇠고기무국(빨갛게),생선커틀렛,닭가슴살장조림,중식,국,해산물
2017-04-03,밥,꽃게탕,오이달래무침,쌈무/양파절임,중식,탕,해산물
2017-04-04,밥,된장찌개,쇠불고기,동태전,중식,찌개,육류
2017-04-05,짜장밥,맑은계란국,유산슬,부추만두,중식,국,해산물
2017-04-06,밥,근대국,마늘치킨,감자채전,중식,국,조류
2017-04-07,밥,육개장,미니채소떡갈비,버섯구이*발사믹D,중식,국,육류
2017-04-10,밥,얼갈이국,쇠고기낙지볶음,날치알계란찜,중식,찜,육류
2017-04-11,밥,김치찌개,해물누룽지탕,우엉잡채,중식,탕,해산물
2017-04-12,밥,들깨미역국,삼겹살오븐구이,맛살콩나물냉채,중식,국,육류
2017-04-13,밥,황태국,닭데리야끼조림,매운어묵볶음,중식,국,조류
2017-04-14,밥,쇠고기샤브국,오징어볶음,메추리알조림,중식,국,해산물
2017-04-17,밥,된장찌개,돈육굴소스볶음,오징어숙회무침,중식,찌개,육류
2017-04-18,밥,들깨시래기국,쇠고기장조림,시금치프리타타,중식,국,육류
2017-04-19,곤드레밥,맑은국,탕수어,쫄면무침,중식,국수,해산물
2017-04-20,밥,아욱국,등갈비김치찜,참치야채전,중식,찜,육류
2017-04-21,밥,콩나물김치국,버섯불고기,브로컬리맛살볶음,중식,국,육류
2017-04-24,밥,부대찌개,언양식불고기,계란장조림,중식,찌개,육류
2017-04-25,밥,차돌박이찌개,닭강정,콩나물잡채,중식,찌개,조류
2017-04-26,비빔밥,맑은국,오징어튀김,견과류조림,중식,국,해산물
2017-04-27,밥,미역국,매콤함박스테이크,삼치구이,중식,국,육류
