일자,밥,국,메인,반찬,구분,국분류,메뉴분류
2018-08-03,밥,연두부탕,닭오븐구이,꽈리고추어묵조림,중식,탕,조류
2018-08-06,밥,콩나물김치국,소불고기,골뱅이무침*소면,중식,국수,육류
2018-08-07,밥,얼갈이된장국,오징어볶음,닭살겨자냉채,중식,국,해산물
2018-08-08,열무보리비빔밥,맑은국,깐풍육,꽃맛살샐러드,중식,국,육류
2018-08-09,밥,미역오이냉국,돈육장조림,온두부,중식,국,육류
2018-08-10,밥,된장찌개,굴비구이,미트볼케찹조림,중식,찌개,해산물
2018-08-13,밥,들깨버섯국,제육볶음,계란찜,중식,찜,육류
2018-08-14,밥,차돌박이된장찌개,해물누룽지탕,쫄면야채무침,중식,국수,해산물
2018-08-16,밥,닭개장,동태포전,주꾸미굴소스볶음,중식,국,해산물
2018-08-17,밥,알탕,쇠고기단호박조림,두부오꼬노미야끼,중식,탕,육류
2018-08-20,밥,시금치된장국,훈제오리구이,실곤약무침,중식,국,조류
2018-08-21,밥,미역국,소고기불고기,양념두부조림,중식,국,육류
2018-08-22,비빔밥,미소장국,해물까스,궁중떡볶이,중식,국,해산물
2018-08-23,밥,된장찌개,꽁치레몬구이,동그랑땡,중식,찌개,해산물
2018-08-24,밥,우무묵냉국,마늘치킨,계란말이,중식,국,조류
2018-08-27,밥,배추된장국,돈육간장불고기,홍어채무침,중식,국,육류
2018-08-28,밥,쇠고기샤브국,탕수어,쫄면무침,중식,국수,해산물
2018-08-29,콩나물밥,팽이장국,치킨핑거,메추리알조림,중식,국,조류
2018-08-30,밥,근대국,모듬장조림,마파두부,중식,국,육류
2018-08-31,밥,조랭이떡국,소고기낙지볶음,두부새싹구이,중식,국,육류
2018-09-03,밥,콩나물국,버섯불고기,브로컬리오징어숙회,중식,국,육류
2018-09-04,밥,들깨시래기국,동파삼겹수육,녹두전,중식,국,육류
2018-09-05,김치제육덮밥,맑은국,샐러드파스타,오징어튀김,중식,국,육류
2018-09-06,밥,꽃게탕,간장찜닭,연두부*양념장,중식,찜,조류
2018-09-07,밥,미역국,매운주꾸미볶음,새송이버섯전,중식,국,해산물
2018-09-10,밥,연두부국,돈육고추장불고기,감자채볶음,중식,국,육류
2018-09-11,밥,쇠고기미역국,닭매운찜,두부스테이크,중식,찜,조류
2018-09-12,소불고기덮밥,가쯔오장국,오징어튀김,구운채소,중식,국,해산물
2018-09-13,밥,시래기국,등갈비김치찜,부추전,중식,찜,육류
2018-09-14,밥,고추장찌개,언양식불고기,계란말이,중식,찌개,육류
2018-09-17,밥,어묵국,돈육굴소스볶음,골뱅이무침*소면,중식,국수,육류
2018-09-18,밥,닭개장,류산슬,김치전,중식,국,해산물
2018-09-19,카레덮밥,유부장국,감자프리타타,메밀전병만두,중식,국,육류
2018-09-20,밥,꽃게탕,소고기장조림,명태조림,중식,탕,육류
2018-09-21,밥,아욱된장국,돼지갈비찜/잡채,쭈꾸미숙회무침,중식,찜,육류
2018-10-08,밥,어묵탕,돈육고추장불고기,감자채볶음,중식,탕,육류
2018-10-10,곤드레밥*강된장,맑은국,돈육강정,사과고구마그라탱,중식,국,육류
2018-10-11,밥,들깨버섯국,오징어볶음,단호박계란찜,중식,찜,해산물
2018-10-12,밥,설렁탕,김치전,오징어젓무침,중식,탕,해산물
2018-10-15,밥,열무된장국,버섯불고기,맛살겨자채,중식,국,육류
2018-10-16,밥,매운소고기무국,조기구이,우엉잡채,중식,국,해산물
2018-10-17,콩나물밥,유부장국,생선가스*칠리소스,가래떡구이*조청,중식,국,해산물
2018-10-18,밥,감자국,김치제육볶음,해물파전,중식,국,육류
2018-10-19,밥,오징어국,닭갈비,연두부*양념장,중식,국,육류
2018-10-22,밥,고추장찌개,돈육간장불고기,야채계란찜,중식,찜,육류
2018-10-23,밥,콩비지찌개,닭볶음탕,메밀전병만두,중식,탕,조류
2018-10-24,밥,콩나물국,등갈비김치찜,어묵볶음,중식,찜,육류
2018-10-25,밥,얼갈이국,쇠고기낙지볶음,시금치프리타타,중식,국,육류
2018-10-26,밥,근대국,오징어볶음,두부새싹구이,중식,국,해산물
2018-10-29,밥,황태국,소불고기,홍어채무침,중식,국,육류
2018-10-30,밥,어묵국,동파삼겹수육,실곤약야채무침,중식,국,육류
2018-10-31,밥,콩나물국,수제돈가스,닭살겨자채,중식,국,육류
2018-11-01,밥,시래기국,마늘간장치킨,새송이버섯전,중식,국,조류
2018-11-02,밥,배추된장국,훈제오리구이,참치야채전,중식,국,조류
2018-11-05,밥,쇠고기샤브국,오징어볶음,단호박계란찜,중식,찜,해산물
2018-11-06,밥,매운콩나물국,닭데리야끼구이,해파리냉채,중식,국,조류
2018-11-07,곤드레밥*강된장,맑은국,사천식탕수육,탕평채,중식,탕,육류
2018-11-08,밥,미역국,닭갈비,동태포전,중식,국,육류
2018-11-09,밥,육개장,고등어구이,비엔나케찹볶음,중식,국,해산물
2018-11-12,밥,순두부찌개,소고기불고기,골뱅이무침*소면,중식,국수,육류
2018-11-13,밥,청국장찌개,돈육강정,두부양념조림,중식,찌개,육류
2018-11-14,콩나물밥*양념장,팽이장국,치킨핑거*요거트드레싱,꽃맛살샐러드,중식,국,조류
2018-11-15,밥,아욱국,유자청제육볶음,오징어숙회무침,중식,국,육류
2018-11-16,밥,알탕,언양식불고기,부추깻잎전,중식,탕,육류
2018-11-19,밥,꽃게탕,돈육굴소스볶음,매운어묵볶음,중식,탕,육류
2018-11-20,밥,들깨시래기국,주꾸미볶음,메추리알조림,중식,국,해산물
2018-11-21,카레덮밥,맑은국,새우까스*탈탈소스,파스타샐러드,중식,국,해산물
2018-11-22,밥,콩나물국,닭볶음탕,두부구이*양념장,중식,탕,조류
2018-11-23,밥,근대국,버섯불고기,쫄면무침,중식,국수,육류
2018-11-26,밥,얼갈이국,닭갈비,감자프리타타,중식,국,육류
2018-11-27,밥,배추된장국,짬뽕불고기,늙은호박전,중식,국수,육류
2018-11-28,나물비빔밥,가쯔오장국,오징어튀김,과일샐러드,중식,국,해산물
2018-11-29,밥,두부김치국,레몬탕수육,어묵꽈리고추볶음,중식,탕,육류
2018-11-30,밥,매운버섯국,해물누룽지탕,계란말이,중식,탕,해산물
2018-12-03,밥,미역국,쇠고기낙지볶음,계란찜,중식,찜,육류
2018-12-04,밥,차돌박이찌개,유린기,모듬버섯볶음,중식,찌개,육류
2018-12-05,단호박영양밥,유부장국,언양식불고기,주꾸미초무침,중식,국,육류
2018-12-06,밥,콩나물국,오리불고기,셀프무쌈말이,중식,국,육류
2018-12-07,밥,떡만두국,쇠고기모듬장조림,동그랑땡전,중식,국,육류
2018-12-10,밥,아욱국,제육볶음,감자그라탕,중식,탕,육류
2018-12-11,밥,시금치국,등갈비김치찜,메밀전,중식,찜,육류
2018-12-12,콩나물밥*양념장,가쯔오국,가자미튀김,고추잡채*꽃빵,중식,국,해산물
2018-12-13,밥,매운어묵국,동파삼겹수육,맛살전,중식,국,육류
2018-12-14,밥,동태찌개,치즈함박스테이크,두부조림,중식,찌개,육류
2018-12-17,밥,콩나물국,짬뽕불고기,메추리알조림,중식,국수,육류
2018-12-18,밥,연두부탕,닭볶음탕,해물김치전,중식,탕,조류
2018-12-19,곤드레밥*강된장,팽이장국,탕수어,쫄면무침,중식,국수,해산물
2018-12-20,밥,근대국,돼지갈비찜,두부새싹구이,중식,찜,육류
2018-12-21,밥,닭개장,갈치양념조림,고기전,중식,국,해산물
2018-12-24,밥,열무된장국,훈제오리구이,매운어묵볶음,중식,국,조류
2018-12-26,밥,아욱국,돈육굴소스볶음,골뱅이무침*소면,중식,국수,육류
2018-12-27,밥,순두부찌개,오징어볶음,계란말이,중식,찌개,해산물
2018-12-28,밥,고추장찌개,버섯불고기,해물동그랑땡,중식,찌개,육류
2018-12-31,밥,콩나물국,돈육고추장불고기,감자채볶음,중식,국,육류
2019-01-02,밥,떡국,소갈비찜,해물파전,중식,찜,육류
2019-01-03,밥,차돌박이찌개,안동찜닭,주꾸미초무침,중식,찜,조류
2019-01-04,밥,두부김치국,언양식불고기,삼치구이,중식,국,육류
2019-01-07,밥,시래기국,쇠고기숙주볶음,늙은호박전,중식,국,육류
2019-01-08,밥,콩나물국,치즈함박스테이크,고등어구이,중식,국,육류
2019-01-09,비빔밥,맑은국,치킨핑거*요거트소스,하와이안샐러드,중식,국,조류
2019-01-10,밥,육개장,탕수육,감자프리타타,중식,탕,육류
2019-01-11,밥,꽃게탕,고추잡채*꽃빵,메밀전,중식,탕,해산물
2019-01-14,밥,알탕,돈육굴소스볶음,감자채볶음,중식,탕,육류
2019-01-15,밥,어묵국,등갈비김치말이,해파리냉채,중식,국,육류
2019-01-16,짜장덮밥,맑은국,유산슬,군만두,중식,국,해산물
2019-01-17,밥,봄동된장국,쇠고기낙지볶음,두부스테이크,중식,국,육류
2019-01-18,밥,콩나물김치국,순살파닭,실곤약초무침,중식,국,조류
2019-01-21,밥,고추장찌개,버섯불고기,야채계란찜,중식,찜,육류
2019-01-22,밥,배추된장국,닭볶음탕,새송이버섯전,중식,탕,조류
2019-01-23,콩나물밥,맑은국,생선까스*탈탈소스,파스타샐러드,중식,국,해산물
2019-01-24,밥,얼갈이국,누룽지탕수육,오징어초무침,중식,탕,육류
2019-01-25,밥,수제비국,짬뽕불고기,멸치호두볶음,중식,국수,육류
2019-01-28,밥,된장찌개,김치제육볶음,사과고구마그라탱,중식,찌개,육류
2019-01-29,밥,새알만두국,양파치킨,돈육잡채,중식,국,조류
2019-01-30,카레덮밥,유부장국,새우까스*칠리소스,쫄면무침,중식,국수,해산물
2019-01-31,밥,청국장찌개,갈치구이,비엔나감자볶음,중식,찌개,해산물
2019-02-01,밥,시금치국,동파삼겹수육,해물파전,중식,국,육류
2019-02-07,밥,열무된장국,훈제오리구이,매운어묵볶음,중식,국,조류
2019-02-08,밥,황태국,제육볶음,들깨버섯무침,중식,국,육류
2019-02-11,밥,어묵국,소불고기,계란말이,중식,국,육류
2019-02-12,밥,순두부찌개,돈육장조림,옥수수전,중식,찌개,육류
2019-02-13,낙지비빔밥,맑은국,메추리알조림,고구마튀김,중식,국,조류
2019-02-14,밥,꽃게탕,미니채소떡갈비,카레감자채볶음,중식,탕,육류
2019-02-15,밥,봄동된장국,오징어볶음,연두부*양념장,중식,국,해산물
2019-02-18,밥,콩비지찌개,치즈함박스테이크,새송이버섯전,중식,찌개,육류
2019-02-19,밥,차돌박이찌개,굴비구이,오징어야채무침,중식,찌개,해산물
2019-02-20,곤드레밥*양념장,맑은국,치킨핑거,김치찐만두,중식,국,조류
2019-02-21,밥,아욱국,돼지갈비찜,시금치프리타타,중식,찜,육류
2019-02-22,밥,돈육김치찌개,언양식불고기,맛살냉채,중식,찌개,육류
2019-02-25,밥,고추장찌개,버섯불고기,두부양념조림,중식,찌개,육류
2019-02-26,밥,쇠고기미역국,미트볼칠리조림,고등어구이,중식,국,육류
2019-02-27,비빔밥,유부장국,오징어튀김,떡밤초,중식,국,해산물
2019-02-28,밥,콩가루배추된장국,돈삼겹보쌈,매운어묵볶음,중식,국,육류
2019-03-04,밥,해물된장찌개,돈육간장불고기,옥수수계란찜,중식,찜,육류
2019-03-05,밥,육개장,고추잡채*꽃빵,삼치구이,중식,국,해산물
2019-03-06,콩나물밥,미역장국,코다리강정,닭가슴살냉채,중식,국,해산물
2019-03-07,밥,북어해장국,소고기낙지볶음,녹두전,중식,국,육류
2019-03-08,밥,차돌박이찌개,해물누룽지탕,비엔나컬리플라워조림,중식,탕,해산물
2019-03-11,밥,어묵국,쇠고기숙주볶음,감자프리타타,중식,국,육류
2019-03-12,밥,쑥국,안동찜닭,해물김치전,중식,찜,조류
2019-03-13,카레덮밥,가쯔오장국,고구마치즈구이,쫄면무침,중식,국수,기타
2019-03-14,밥,우거지해장국,갈치구이,모듬소시지구이,중식,국,해산물
2019-03-15,밥,열무된장국,등갈비김치찜,메밀전병만두,중식,찜,육류
2019-03-18,밥,콩나물국,버섯불고기,오징어숙회무침,중식,국,육류
2019-03-19,밥,아욱국,동파육,계란찜,중식,찜,육류
2019-03-20,김치제육덮밥,맑은국,야채튀김,시저샐러드,중식,국,육류
2019-03-21,밥,미역국,한방소갈비찜,동태전/새송이전,중식,찜,육류
2019-03-22,밥,해물된장찌개,돈육굴소스볶음,달래두부무침,중식,찌개,육류
2019-03-25,밥,꽃게탕,소고기장조림,두부구이,중식,탕,육류
2019-03-26,밥,무채국,제육볶음,들깨버섯무침,중식,국,육류
2019-03-27,단호박영양밥,가쯔오장국,돈육칠리강정,모듬묵샐러드,중식,국,육류
2019-03-28,밥,어묵탕,매운돼지갈비찜,야채계란말이,중식,찜,육류
2019-03-29,밥,알탕,미니함박조림,셀프무쌈말이,중식,탕,육류
2019-04-01,밥,황태국,소고기숙주볶음,계란찜,중식,찜,육류
2019-04-02,밥,연두부탕,오징어볶음,궁중떡볶음,중식,탕,해산물
2019-04-03,곤드레밥*강된장,들깨시래기국,순대볶음,쫄면,중식,국수,육류
2019-04-04,밥,돈육김치찌개,안동찜닭,야채비빔만두,중식,찜,조류
2019-04-05,밥,조랭이떡미역국,짬뽕불고기,맛살전,중식,국수,육류
2019-04-08,밥,된장찌개,유자청돈육볶음,새송이버섯전,중식,찌개,육류
2019-04-09,밥,순두부찌개,주꾸미볶음,감자채볶음,중식,찌개,해산물
2019-04-10,나물비빔밥,가쯔오장국,오징어튀김,과일샐러드,중식,국,해산물
2019-04-11,밥,콩나물국,수제돈까스,파스타샐러드,중식,국,육류
2019-04-12,밥,아욱국,닭오븐구이,옥수수전,중식,국,조류
2019-04-15,밥,매운어묵국,버섯불고기,시금치프리타타,중식,국,육류
2019-04-16,밥,열무된장국,닭볶음탕,우엉잡채,중식,탕,조류
2019-04-17,밥,떡국,오징어볶음,계란장조림,중식,국,해산물
2019-04-18,밥,매운버섯국,미트볼케찹조림,어묵볶음,중식,국,육류
2019-04-19,짜장덮밥,맑은국,사천식탕수육,군만두,중식,탕,육류
2019-04-22,밥,들깨시래기국,유자청돈육볶음,콩나물겨자채,중식,국,육류
2019-04-23,밥,된장찌개,쇠고기장조림,골뱅이무침*소면,중식,국수,육류
2019-04-24,카레라이스,미소장국,언양식불고기,떡볶이,중식,국,육류
2019-04-25,밥,두부김치국,해물누룽지탕,두부카프레제,중식,탕,해산물
2019-04-26,밥,미역국,돈육간장강정,황태양념구이,중식,국,육류
2019-04-29,밥,김치콩나물국,버섯불고기,계란찜,중식,찜,육류
2019-04-30,밥,소고기샤브국,오징어볶음,모듬묵샐러드,중식,국,해산물
2019-05-02,밥,해물된장찌개,안동찜닭,버섯볶음,중식,찜,조류
2019-05-03,밥,순두부찌개,미니채소떡갈비,사각어묵무침,중식,찌개,육류
2019-05-07,밥,어묵국,훈제오리구이,두부조림,중식,국,조류
2019-05-08,콩나물밥,가쯔오장국,치킨핑거/요거트D,메추리알조림,중식,국,조류
2019-05-09,밥,근대국,보쌈,상추쌈/고추/마늘,중식,국,기타
2019-05-10,밥,참치김치찌개,소고기장조림,실곤약초무침,중식,찌개,육류
2019-05-13,밥,아욱국,제육볶음,해파리겨자채,중식,국,육류
2019-05-14,밥,차돌된장찌개,해물청경채볶음,고기전,중식,찌개,해산물
2019-05-15,산채비빔밥,가쯔오장국,치킨너겟*머스타드,콘샐러드,중식,국,조류
2019-05-16,밥,연두부탕,돼지갈비찜,계란말이,중식,찜,육류
2019-05-17,밥,버섯매운탕,탕수어,온두부,중식,탕,해산물
2019-05-20,밥,된장찌개,소고기숙주나물볶음,코다리조림,중식,찌개,육류
2019-05-21,밥,해물순두부찌개,수원왕갈비통닭,사각어묵볶음,중식,찌개,육류
2019-05-22,밥,꽃게탕,새송이떡갈비구이,도토리묵야채무침,중식,탕,육류
2019-05-23,밥,소고기국,가자미튀김,돈육장조림,중식,국,해산물
2019-05-24,낙지비빔밥,콩나물국,부추전,계란찜,중식,찜,해산물
2019-05-27,밥,북어국,돈육콩나물불고기,시금치프리타타,중식,국,육류
2019-05-28,밥,오징어국,안동찜닭,감자채전,중식,찜,조류
2019-05-29,밥,배추된장국,수제돈가스,마파두부,중식,국,육류
2019-05-30,밥,육개장,고등어구이,야채비빔만두,중식,국,해산물
2019-05-31,봄나물비빔밥,맑은국,함박스테이크,동태전,중식,국,육류
2019-06-03,밥,콩나물국,짬뽕불고기,메추리알조림,중식,국수,육류
2019-06-04,밥,아욱국,등갈비김치찜,두부계란부침,중식,찜,육류
2019-06-05,곤드레밥*양념장,맑은국,코다리조림,계란말이,중식,국,해산물
2019-06-07,밥,고추장찌개,언양식불고기,버섯잡채,중식,찌개,육류
2019-06-10,밥,매운어묵국,소불고기,골뱅이무침*소면,중식,국수,육류
2019-06-11,밥,부대찌개,오징어볶음,연두부*양념장,중식,찌개,해산물
2019-06-12,김치제육덮밥,맑은국,사과고구마그라탕,맛살냉채,중식,탕,육류
2019-06-13,밥,옹심이만두국,닭볶음탕,신김치도토리묵,중식,탕,조류
2019-06-14,밥,오이냉국,사천식탕수육,해물파전,중식,탕,육류
2019-06-17,밥,열무된장국,돼지고기유자청볶음,잡채,중식,국,육류
2019-06-18,밥,북어해장국,매운돼지갈비찜,흑임자연근샐러드,중식,찜,육류
2019-06-19,짜장덮밥,맑은국,깐풍기,물만두,중식,국,조류
2019-06-20,밥,감자국,주꾸미볶음,시금치프리타타,중식,국,해산물
2019-06-21,밥,청국장찌개,소고기장조림,김치전,중식,찌개,육류
2019-06-24,밥,어묵국,소불고기,옥수수계란찜,중식,찜,육류
2019-06-25,밥,참치김치찌개,돈육장조림,맛살전,중식,찌개,육류
2019-06-26,카레덮밥,가쯔오장국,고구마치즈구이,쫄면무침,중식,국수,기타
2019-06-27,밥,소고기미역국,양념치킨,비엔나볶음,중식,국,조류
2019-06-28,콩나물밥*양념장,팽이장국,치킨핑거*요거트드레싱,꽃맛살샐러드,중식,국,조류
2019-07-01,밥,순두부찌개,치즈함박스테이크,매운어묵볶음,중식,찌개,육류
2019-07-02,밥,사과오이냉국,쇠고기낙지볶음,우엉잡채,중식,국,육류
2019-07-03,마파두부덮밥,맑은국,치킨너겟,파스타샐러드,중식,국,조류
2019-07-04,밥,열무된장국,짬뽕불고기,감자채볶음,중식,국수,육류
2019-07-05,밥,김치두부국,훈제오리구이,동그랑땡전,중식,국,조류
2019-07-08,밥,오징어국,버섯불고기,꽃맛살볶음,중식,국,육류
2019-07-09,밥,시래기국,닭볶음탕,어묵꽈리볶음,중식,탕,조류
2019-07-10,열무보리비빔밥,가쯔오장국,깐풍육,시저샐러드,중식,국,육류
2019-07-11,밥,근대국,삼겹보쌈,해물김치전,중식,국,육류
2019-07-12,<초복특식>,삼계탕,찹쌀밥,생야채&쌈장,중식,탕,조류
2019-07-15,밥,차돌박이찌개,돈육굴소스볶음,주꾸미야채무침,중식,찌개,육류
2019-07-16,밥,북어계란국,닭갈비,간장두부조림,중식,국,육류
2019-07-17,산채비빔밥,미소장국,야채튀김,아삭고추무침,중식,국,기타
2019-07-18,밥,돈육김치찌개,미니채소떡갈비,모듬묵양념장,중식,찌개,육류
2019-07-19,밥,소고기무국,갈치구이,비엔나감자볶음,중식,국,해산물
2019-07-22,밥,매운어묵국,소고기숙주볶음,치킨샐러드,중식,국,육류
2019-07-23,밥,시금치된장국,등갈비김치찜,파프리카잡채,중식,찜,육류
2019-07-24,카레라이스,가쯔오국,갈비통통만두,쫄면야채무침,중식,국수,육류
2019-07-25,밥,매운소고기국,유린기,코다리조림,중식,국,육류
2019-07-26,밥,우묵냉국,고구마함박스테이크,김치전,중식,국,육류
2019-07-29,밥,시금치국,유자청제육볶음,사과고구마그라탕,중식,탕,육류
2019-07-30,밥,사과오이냉국,장어강정,햄감자채볶음,중식,국,해산물
2019-07-31,곤드레밥*양념장,맑은국,해물누룽지탕,메밀전병만두,중식,탕,해산물
2019-08-01,밥,아욱국,닭볶음탕,오징어브로컬리숙회,중식,탕,조류
2019-08-02,밥,고추장찌개,미트볼케찹조림,계란말이,중식,찌개,육류
2019-08-05,밥,콩나물국,닭갈비,실곤약흑임자무침,중식,국,육류
2019-08-06,밥,도토리묵냉국,짬뽕불고기,계란찜,중식,찜,육류
2019-08-07,짜장덮밥,맑은국,고추잡채*꽃빵,군만두,중식,국,육류
2019-08-08,밥,아욱국,돼지갈비찜,어묵볶음,중식,찜,육류
2019-08-09,밥,차돌된장찌개,주꾸미볶음,옥수수전,중식,찌개,해산물
2019-08-12,밥,된장찌개,소고기숙주볶음,모듬묵*양념장,중식,찌개,육류
2019-08-13,밥,꽃게탕,언양식불고기,감자프리타타,중식,탕,육류
2019-08-14,콩나물밥,올챙이만두국,유린기,모히토과일샐러드,중식,국,육류
2019-08-16,밥,닭개장,쇠고기장조림,잡채,중식,국,육류
2019-08-19,밥,시래기국,유자청제육볶음,해물겨자냉채,중식,국,육류
2019-08-20,밥,소고기미역국,닭강정,모듬소세지구이,중식,국,조류
2019-08-21,산채비빔밥,미소장국,오징어튀김,아삭고추무침,중식,국,해산물
2019-08-22,밥,닭곰탕,류산슬,오꼬노미야끼계란말이,중식,탕,해산물
2019-08-23,밥,돈육김치찌개,미니채소떡갈비,자반고등어구이,중식,찌개,육류
2019-08-26,밥,꽃게탕,함박스테이크,사과고구마그라탕,중식,탕,육류
2019-08-27,밥,고추장찌개,버섯불고기,동태전,중식,찌개,육류
2019-08-28,카레덮밥,맑은국,치킨핑거,쫄면야채무침,중식,국수,조류
2019-08-29,밥,배추된장국,훈제오리구이,매운어묵볶음,중식,국,조류
2019-08-30,밥,부대찌개,굴비구이,비엔나컬리플라워볶음,중식,찌개,해산물
2019-09-02,밥,들깨시락국,돈육김치볶음,궁중떡볶음,중식,국,육류
2019-09-03,밥,차돌박이찌개,소고기장조림,갈치무조림,중식,찌개,육류
2019-09-04,단호박영양밥,유부장국,새송이너비아니구이,양장피,중식,국,육류
2019-09-05,밥,토란국,매운돼지갈비찜,호박부추전,중식,찜,육류
2019-09-06,밥,된장찌개,수제돈까스,통도라지구이,중식,찌개,육류
2019-09-09,밥,김치콩나물국,짬뽕불고기,버섯잡채,중식,국수,육류
2019-09-10,밥,맑은순두부국,사천식탕수육,감자프리타타,중식,탕,육류
2019-09-11,나물비빔밥,팽이장국,생선까스*칠리소스,갈비만두,중식,국,해산물
2019-09-16,밥,황태국,훈제오리고추장볶음,연두부*장,중식,국,조류
2019-09-17,밥,꽃게된장찌개,돈육굴소스볶음,날치알계란찜,중식,찜,육류
2019-09-18,밥,소고기미역국,탄두리치킨,오징어숙회무침,중식,국,조류
2019-09-19,밥,쇠고기샤브국,주꾸미볶음,카레감자채볶음,중식,국,해산물
2019-09-20,밥,열무된장국,대패삼겹*파채,사각어묵무침,중식,국,육류
2019-09-23,밥,근대국,유자청제육볶음,동그랑땡전,중식,국,육류
2019-09-24,밥,얼갈이된장국,버섯불고기,골뱅이무침,중식,국,육류
2019-09-25,곤드레밥*양념장,맑은국,돈육강정,사과고구마그라탕,중식,탕,육류
2019-09-26,밥,콩나물김치국,해물누룽지탕,두부스테이크,중식,탕,해산물
2019-09-27,밥,어묵국,언양식불고기,계란말이,중식,국,육류
2019-09-30,밥,콩가루배추국,짬뽕불고기,메추리알조림,중식,국수,육류
2019-10-02,밥,돈육김치찌개,닭갈비,우엉잡채,중식,찌개,육류
2019-10-04,밥,해물된장찌개,소불고기,두부양념조림,중식,찌개,육류
2019-10-07,밥,콩비지찌개,돈육굴소스볶음,해파리겨자채,중식,찌개,육류
2019-10-08,밥,동태탕,마늘간장치킨,새송이버섯전,중식,탕,조류
2019-10-10,밥,옹심이만두국,굴비구이,미트볼조림,중식,국,해산물
2019-10-11,밥,아욱국,매운돼지갈비찜,파스타샐러드,중식,찜,육류
2019-10-14,밥,북어해장국,제육볶음,감자채볶음,중식,국,육류
2019-10-15,밥,콩나물국,닭갈비,어묵볶음,중식,국,육류
2019-10-16,콩나물밥,가쯔오국,돈육강정,모히토과일샐러드,중식,국,육류
2019-10-17,밥,알탕,해물굴소스볶음,쇠고기두부찜,중식,찜,해산물
2019-10-18,밥,우거지된장국,쇠고기장조림,옥수수전,중식,국,육류
2019-10-21,밥,고추장찌개,훈제오리단호박볶음,골뱅이무침,중식,찌개,조류
2019-10-22,밥,얼큰순두부찌개,짬뽕불고기,잡채,중식,국수,육류
2019-10-23,카레라이스,우동국,유린기,메밀전병만두,중식,국,육류
2019-10-24,밥,건새우아욱국,등갈비김치말이,계란말이,중식,국,육류
2019-10-25,나물비빔밥,팽이장국,생선까스*칠리소스,갈비만두,중식,국,해산물
2019-10-28,밥,소고기미역국,유자청제육볶음,메추리알조림,중식,국,육류
2019-10-29,밥,된장찌개,오징어볶음,두부새싹구이,중식,찌개,해산물
2019-10-30,마파두부덮밥,맑은국,치킨핑거,시저샐러드,중식,국,조류
2019-10-31,밥,매운콩나물국,동파삼겹수육,늙은호박전,중식,국,육류
2019-11-01,밥,옥수수스프,딸기드레싱샐러드,감자범벅,중식,스프,기타
2019-11-04,밥,근대국,소고기낙지볶음,계란찜,중식,찜,육류
2019-11-05,밥,고추장찌개,순살파닭,감자채볶음,중식,찌개,조류
2019-11-06,김치제육덮밥,가쯔오장국,시금치프리타타,동태전,중식,국,육류
2019-11-07,밥,오징어국,미니채소떡갈비,멸치호두볶음,중식,국,육류
2019-11-08,야채볶음밥*짜장소스,미역장국,사천식탕수육,멕시칸샐러드,중식,탕,육류
2019-11-11,밥,돈육김치찌개,언양식불고기*양파채,잡채,중식,찌개,육류
2019-11-12,밥,차돌된장찌개,주꾸미볶음,옥수수전,중식,찌개,해산물
